national_team,team_code,role,coach_name,first_names,last_names,nationality,source_page
Algeria,ALG,Head coach,PETKOVIC Vladimir,Vladimir,PETKOVIĆ,Switzerland,1
Argentina,ARG,Head coach,SCALONI Lionel,Lionel Sebastián,SCALONI,Argentina,2
Australia,AUS,Head coach,POPOVIC Tony,Tony,POPOVIC,Australia,3
Austria,AUT,Head coach,RANGNICK Ralf,Ralf Dietrich,RANGNICK,Germany,4
Belgium,BEL,Head coach,GARCIA Rudi,Rudi José,GARCIA,France,5
Bosnia And Herzegovina,BIH,Head coach,BARBAREZ Sergej,Sergej,BARBAREZ,Bosnia And Herzegovina,6
Brazil,BRA,Head coach,ANCELOTTI Carlo,Carlo,ANCELOTTI,Italy,7
Cabo Verde,CPV,Head coach,BUBISTA,Pedro,LEITÃO BRITO,Cabo Verde,8
Canada,CAN,Head coach,MARSCH Jesse,Jesse Alan,MARSCH,USA,9
Colombia,COL,Head coach,LORENZO Nestor,Nestor Gabriel,LORENZO,Argentina,10
Congo DR,COD,Head coach,DESABRE Sebastien,Sebastien Serge Louis D,ESABRE,France,11
Côte D'Ivoire,CIV,Head coach,FAE Emerse,Emerse,FAE,Côte D'Ivoire,12
Croatia,CRO,Head coach,DALIC Zlatko,Zlatko,DALIĆ,Croatia,13
Curaçao,CUW,Head coach,ADVOCAAT Dick,Dirk Nicolaas,ADVOCAAT,Netherlands,14
Czechia,CZE,Head coach,KOUBEK Miroslav,Miroslav,KOUBEK,Czech Republic,15
Ecuador,ECU,Head coach,BECCACECE Sebastian,Sebastián Andrés,BECCACECE,Argentina,16
Egypt,EGY,Head coach,HOSSAM HASSAN,Hossam Hassan Hassanein,HASSAN,Egypt,17
England,ENG,Head coach,TUCHEL Thomas,Thomas,TUCHEL,Germany,18
France,FRA,Head coach,DESCHAMPS Didier,Didier Claude,DESCHAMPS,France,19
Germany,GER,Head coach,NAGELSMANN Julian,Julian,NAGELSMANN,Germany,20
Ghana,GHA,Head coach,CARLOS QUEIROZ,Carlos Manuel,BRITO LEAL DE QUEIROZ,Portugal,21
Haiti,HAI,Head coach,MIGNE Sebastien,Sébastien Bernard Henri C,MIGNÉ,France,22
IR Iran,IRN,Head coach,GHALEHNOY Amir,Ardeshir,GHALEHNOY,IR Iran,23
Iraq,IRQ,Head coach,ARNOLD Graham,Graham James,ARNOLD,Australia,24
Japan,JPN,Head coach,MORIYASU Hajime,Hajime,MORIYASU,Japan,25
Jordan,JOR,Head coach,SELLAMI Jamal,Jamal,SELLAMI,Morocco,26
Korea Republic,KOR,Head coach,HONG Myungbo,Myung Bo,HONG,Korea Republic,27
Mexico,MEX,Head coach,AGUIRRE Javier,Javier,AGUIRRE ONAINDIA,Mexico,28
Morocco,MAR,Head coach,OUAHBI Mohamed,Mohamed,OUAHBI,Morocco,29
Netherlands,NED,Head coach,KOEMAN Ronald,Ronald,KOEMAN,Netherlands,30
New Zealand,NZL,Head coach,BAZELEY Darren,Darren Shaun,BAZELEY,New Zealand,31
Norway,NOR,Head coach,SOLBAKKEN Stale,Ståle,SOLBAKKEN,Norway,32
Panama,PAN,Head coach,CHRISTIANSEN Thomas,Thomas,CHRISTIANSEN TARIN,Spain,33
Paraguay,PAR,Head coach,ALFARO Gustavo,Gustavo Julio,ALFARO,Argentina,34
Portugal,POR,Head coach,MARTINEZ Roberto,Roberto,MARTÍNEZ MONTOLIU,Spain,35
Qatar,QAT,Head coach,LOPETEGUI Julen,Julian,LOPETEGUI ARGOTE,Spain,36
Saudi Arabia,KSA,Head coach,DONIS Georgios,Georgios,DONIS,Greece,37
Scotland,SCO,Head coach,CLARKE Steve,Stephen,CLARKE,Scotland,38
Senegal,SEN,Head coach,THIAW Pape,Pape Bouna,THIAW,Senegal,39
South Africa,RSA,Head coach,BROOS Hugo,Hugo Henri,BROOS,Belgium,40
Spain,ESP,Head coach,DE LA FUENTE Luis,Luis,DE LA FUENTE CASTILLO,Spain,41
Sweden,SWE,Head coach,POTTER Graham,Graham Stephen,POTTER,England,42
Switzerland,SUI,Head coach,YAKIN Murat,Murat,YAKIN,Switzerland,43
Tunisia,TUN,Head coach,LAMOUCHI Sabri,Sabri,LAMOUCHI,France,44
Türkiye,TUR,Head coach,MONTELLA Vincenzo,Vincenzo,MONTELLA,Italy,45
Uruguay,URU,Head coach,BIELSA Marcelo,Marcelo Alberto,BIELSA,Argentina,46
USA,USA,Head coach,POCHETTINO Mauricio,Mauricio Roberto,POCHETTINO TROSSERO,Argentina,47
Uzbekistan,UZB,Head coach,CANNAVARO Fabio,Fabio,CANNAVARO,Italy,48
